Tata,D/N,Config,Test time,Line,Fixture,SN,Failure Mode,Failure Description,Retest,NTF,Fail,SOF,OFFLINE
2020-07-11,D,GA01919-US,2020-07-11T08:22:04Z,F4-C54,0EE_F4-C54_FATP-QT_03,WIP07101HFAK00V22,"DUT_MLBSN
DUT_FCT_VERSION
DUT_HARDWARE_VERSION
CHECK_FCT_VERSION
CHECK_MLBSN
BTMAC
Write_wipsn
Read_wipsn
Check_wipsn
Read_dsn
Check_dsn
","DUT_MLBSN  
DUT_FCT_VERSION  
DUT_HARDWARE_VERSION  
CHECK_FCT_VERSION  FAIL
CHECK_MLBSN  FAIL
BTMAC  None
Write_wipsn  None
Read_wipsn  None
Check_wipsn  None
Read_dsn  None
Check_dsn  None
",1,0,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T08:30:19Z,F4-C54,0EE_F4-C54_FATP-QT_02,WIP07101HFAK00V2J,"Check_wipsn
Button_check_13_SW_Side_volume_up-maxforce-3.5N
","Check_wipsn  FAIL
Button_check_13_SW_Side_volume_up-maxforce-3.5N  _13+OK_0#
",1,0,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T08:44:30Z,F4-C14,0EE_F4-C14_FATP-QT_02,WIP07101HFAK00T8W,"Button_check_13_SW_Side_volume_up-maxforce-3.5N
","Button_check_13_SW_Side_volume_up-maxforce-3.5N  _13+OK_0#
",1,0,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T08:53:26Z,F4-C54,0EE_F4-C54_FATP-QT_01,WIP07101HFAK00V4P,"CHECK_MLBSN
Write_wipsn
Check_wipsn
Check_dsn
","CHECK_MLBSN  FAIL
Write_wipsn  mbsn_not_match_or_scasn_B_barcode
Check_wipsn  FAIL
Check_dsn  FAIL
",1,0,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T08:45:01Z,F4-C54,0EE_F4-C54_FATP-QT_02,WIP07101HFAK00V43,"Button_check_13_SW_Side_volume_up-maxforce-3.5N
","Button_check_13_SW_Side_volume_up-maxforce-3.5N  _13+OK_0#
",1,0,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T08:57:21Z,F4-C54,0EE_F4-C54_FATP-QT_02,WIP07101HFAK00V4V,"Button_check_13_SW_Side_volume_up-maxforce-3.5N
","Button_check_13_SW_Side_volume_up-maxforce-3.5N  _13+OK_0#
",1,0,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T08:46:07Z,F4-C54,0EE_F4-C54_FATP-QT_01,WIP07101HFAK00V3R,"CHECK_FCT_VERSION
","CHECK_FCT_VERSION  FAIL
",1,0,0,0,0,
2020-07-10,D,GA01919-US,2020-07-10T19:41:07Z,F4-C14,0EE_F4-C14_FATP-QT_04,WIP07091HFAK00T1C,"CHECK_MLBSN
Write_wipsn
Check_wipsn
Check_dsn
","CHECK_MLBSN  FAIL
Write_wipsn  mbsn_not_match!
Check_wipsn  FAIL
Check_dsn  FAIL
",1,0,0,0,0,
2020-07-10,D,GA01919-US,2020-07-10T17:28:37Z,F4-C14,0EE_F4-C14_FATP-QT_03,WIP07091HFAK00RHD,"CHECK_MLBSN
Write_wipsn
Check_wipsn
Check_dsn
","CHECK_MLBSN  FAIL
Write_wipsn  mbsn_not_match!
Check_wipsn  FAIL
Check_dsn  FAIL
",1,0,0,0,0,
2020-07-10,D,GA01919-US,2020-07-10T19:41:02Z,F4-C14,0EE_F4-C14_FATP-QT_04,WIP07091HFAK00T13,"CHECK_MLBSN
Write_wipsn
Check_wipsn
Check_dsn
","CHECK_MLBSN  FAIL
Write_wipsn  mbsn_not_match!
Check_wipsn  FAIL
Check_dsn  FAIL
",1,0,0,0,0,
2020-07-10,D,GA01919-US,2020-07-10T19:11:04Z,F4-C14,0EE_F4-C14_FATP-QT_04,WIP07091HFAK00RWB,"CHECK_MLBSN
Write_wipsn
Check_wipsn
Check_dsn
","CHECK_MLBSN  FAIL
Write_wipsn  mbsn_not_match!
Check_wipsn  FAIL
Check_dsn  FAIL
",1,0,0,0,0,
2020-07-10,D,GA01919-US,2020-07-10T19:11:15Z,F4-C14,0EE_F4-C14_FATP-QT_04,WIP07091HFAK00RW4,"CHECK_MLBSN
Write_wipsn
Check_wipsn
Check_dsn
","CHECK_MLBSN  FAIL
Write_wipsn  mbsn_not_match!
Check_wipsn  FAIL
Check_dsn  FAIL
",1,0,0,0,0,
2020-07-10,D,GA01919-US,2020-07-10T19:41:13Z,F4-C14,0EE_F4-C14_FATP-QT_04,WIP07091HFAK00T12,"CHECK_MLBSN
Write_wipsn
Check_wipsn
Check_dsn
","CHECK_MLBSN  FAIL
Write_wipsn  mbsn_not_match!
Check_wipsn  FAIL
Check_dsn  FAIL
",1,0,0,0,0,
2020-07-10,D,GA01919-US,2020-07-10T19:11:14Z,F4-C14,0EE_F4-C14_FATP-QT_01,WIP07091HFAK00RWD,"CHECK_MLBSN
Write_wipsn
Check_wipsn
Check_dsn
","CHECK_MLBSN  FAIL
Write_wipsn  mbsn_not_match!
Check_wipsn  FAIL
Check_dsn  FAIL
",1,0,0,0,0,
2020-07-10,D,GA01919-US,2020-07-10T17:31:33Z,F4-C14,0EE_F4-C14_FATP-QT_03,WIP07091HFAK00RHT,"CHECK_MLBSN
Write_wipsn
Check_wipsn
Check_dsn
","CHECK_MLBSN  FAIL
Write_wipsn  mbsn_not_match!
Check_wipsn  FAIL
Check_dsn  FAIL
",1,0,0,0,0,
2020-07-10,D,GA01919-US,2020-07-10T19:11:46Z,F4-C14,0EE_F4-C14_FATP-QT_03,WIP07091HFAK00RW3,"CHECK_MLBSN
Write_wipsn
Check_wipsn
Check_dsn
","CHECK_MLBSN  FAIL
Write_wipsn  mbsn_not_match!
Check_wipsn  FAIL
Check_dsn  FAIL
",1,0,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T09:12:54Z,F4-C14,0EE_F4-C14_FATP-QT_02,WIP07101HFAK00TD1,"Button_check_13_SW_Side_volume_up-maxforce-3.5N
Button_check_14_SW_Side_volume_down-maxforce-3.5N
","Button_check_13_SW_Side_volume_up-maxforce-3.5N  _13+OK_0#
Button_check_14_SW_Side_volume_down-maxforce-3.5N  _14+OK_0#
",1,0,0,0,0,
2020-07-11,D,GA01919-US,2020-07-11T09:12:59Z,F4-C54,0EE_F4-C54_FATP-QT_04,WIP07101HFAK00V6P,"DUT_MLBSN
DUT_FCT_VERSION
DUT_HARDWARE_VERSION
CHECK_FCT_VERSION
CHECK_MLBSN
BTMAC
Write_wipsn
Read_wipsn
Check_wipsn
Read_dsn
Check_dsn
","DUT_MLBSN  
DUT_FCT_VERSION  
DUT_HARDWARE_VERSION  
CHECK_FCT_VERSION  FAIL
CHECK_MLBSN  FAIL
BTMAC  None
Write_wipsn  None
Read_wipsn  None
Check_wipsn  None
Read_dsn  None
Check_dsn  None
",1,0,0,0,0,
