Tata,D/N,Config,Test time,Line,Fixture,SN,Failure Mode,Failure Description,Retest,NTF,Fail,SOF,OFFLINE
2020-08-04,D,G950-04226-02,2020-08-04T16:14:08Z,,AUDIO-N19-08,WIP0803105APAL40K,"Rub_Buzz_Margin_Spk_00132
Rub_Buzz_Margin_Spk_00140
Rub_Buzz_Margin_Spk_00150
","Rub_Buzz_Margin_Spk_00132  1.07
Rub_Buzz_Margin_Spk_00140  1.3
Rub_Buzz_Margin_Spk_00150  1.22
",1,0,0,0,0,
2020-08-05,D,G950-04226-02,2020-08-05T07:58:13Z,,AUDIO-N39-07,WIP0804105APALNF5,"Perceptual_R_B_Margin_00750
Perceptual_R_B_Margin_00800
","Perceptual_R_B_Margin_00750  45.73
Perceptual_R_B_Margin_00800  47.35
",0,1,0,0,0,
2020-08-05,D,G950-04226-02,2020-08-05T08:05:54Z,,AUDIO-N29-03,WIP0804105APALW4U,"Rub_Buzz_Margin_Spk_00212
","Rub_Buzz_Margin_Spk_00212  1.0
",1,0,0,0,0,
2020-08-05,D,G950-04226-02,2020-08-05T08:10:58Z,,AUDIO-N39-06,WIP0804105APALNED,"DUT_connect
","DUT_connect  None
",1,0,0,0,0,
2020-08-05,D,G950-04226-02,2020-08-05T08:11:02Z,,AUDIO-N39-01,WIP0804105APALNEB,"FIXTURE_STATUS
","FIXTURE_STATUS  None
",0,0,1,0,0,
2020-08-05,D,G950-04226-02,2020-08-05T08:12:57Z,,AUDIO-N39-08,WIP0804105APALNEL,"Seal_Margin_Mic_R_13200
Seal_Margin_Mic_R_00800
Seal_Margin_Mic_L_05600
Seal_Margin_Mic_R_03150
Seal_Margin_Mic_L_02800
Seal_Margin_Mic_R_03350
Seal_Margin_Mic_M_00335
Seal_Margin_Mic_L_01320
Seal_Margin_Mic_M_08000
Seal_Margin_Mic_M_01320
Seal_Margin_Mic_L_01120
Seal_Margin_Mic_R_00315
Seal_Margin_Mic_R_00425
Seal_Margin_Mic_L_00236
Seal_Margin_Mic_M_10000
Seal_Margin_Mic_R_31500
Seal_Margin_Mic_R_35500
Seal_Margin_Mic_M_06300
Seal_Margin_Mic_L_00630
Seal_Margin_Mic_L_01250
Seal_Margin_Mic_M_11200
Seal_Margin_Mic_L_01400
Seal_Margin_Mic_M_02500
Seal_Margin_Mic_L_00300
Seal_Margin_Mic_M_03750
Seal_Margin_Mic_R_23600
Seal_Margin_Mic_R_00670
Seal_Margin_Mic_L_00425
Seal_Margin_Mic_R_00560
Seal_Margin_Mic_L_18000
Seal_Margin_Mic_R_00475
Seal_Margin_Mic_M_01800
Seal_Margin_Mic_L_07100
Seal_Margin_Mic_L_09000
Seal_Margin_Mic_L_03350
Seal_Margin_Mic_M_20000
Seal_Margin_Mic_R_09000
Seal_Margin_Mic_M_08500
Seal_Margin_Mic_R_02360
Seal_Margin_Mic_R_06000
Seal_Margin_Mic_L_05000
Seal_Margin_Mic_R_00950
Seal_Margin_Mic_M_01250
Seal_Margin_Mic_M_00300
Seal_Margin_Mic_R_28000
Seal_Margin_Mic_R_22400
Seal_Margin_Mic_M_00710
Seal_Margin_Mic_R_00250
Seal_Margin_Mic_L_00600
Seal_Margin_Mic_M_22400
Seal_Margin_Mic_M_35500
Seal_Margin_Mic_M_28000
Seal_Margin_Mic_L_07500
Seal_Margin_Mic_R_00710
Seal_Margin_Mic_M_01000
Seal_Margin_Mic_M_00530
Seal_Margin_Mic_L_00335
Seal_Margin_Mic_R_01700
Seal_Margin_Mic_M_04500
Seal_Margin_Mic_L_00530
Seal_Margin_Mic_R_08500
Seal_Margin_Mic_R_00450
Seal_Margin_Mic_M_01120
Seal_Margin_Mic_L_17000
Seal_Margin_Mic_R_10000
Seal_Margin_Mic_M_16000
Seal_Margin_Mic_R_20000
Seal_Margin_Mic_L_00850
Seal_Margin_Mic_L_30000
Seal_Margin_Mic_R_17000
Seal_Margin_Mic_R_05600
Seal_Margin_Mic_L_01000
Seal_Margin_Mic_L_14000
Seal_Margin_Mic_L_01900
Seal_Margin_Mic_L_10600
Seal_Margin_Mic_M_06000
Seal_Margin_Mic_R_02000
Seal_Margin_Mic_R_21200
Seal_Margin_Mic_M_00315
Seal_Margin_Mic_R_04250
Seal_Margin_Mic_R_00600
Seal_Margin_Mic_R_01400
Seal_Margin_Mic_R_14000
Seal_Margin_Mic_L_01500
Seal_Margin_Mic_R_01000
Seal_Margin_Mic_R_02800
Seal_Margin_Mic_L_00200
Seal_Margin_Mic_R_00300
Seal_Margin_Mic_L_00750
Seal_Margin_Mic_R_00265
Seal_Margin_Mic_L_02500
Seal_Margin_Mic_M_01400
Seal_Margin_Mic_R_00200
Seal_Margin_Mic_M_00950
Seal_Margin_Mic_L_03550
Seal_Margin_Mic_L_20000
Seal_Margin_Mic_M_04750
Seal_Margin_Mic_L_26500
Seal_Margin_Mic_M_19000
Seal_Margin_Mic_L_00280
Seal_Margin_Mic_L_33500
Seal_Margin_Mic_L_00900
Seal_Margin_Mic_R_00280
Seal_Margin_Mic_L_11800
Seal_Margin_Mic_R_11800
Seal_Margin_Mic_M_00670
Seal_Margin_Mic_L_00265
Seal_Margin_Mic_M_12500
Seal_Margin_Mic_M_01060
Seal_Margin_Mic_L_09500
Seal_Margin_Mic_R_01800
Seal_Margin_Mic_M_25000
Seal_Margin_Mic_M_00630
Seal_Margin_Mic_L_00212
Seal_Margin_Mic_L_02000
Seal_Margin_Mic_M_00250
Seal_Margin_Mic_R_00375
Seal_Margin_Mic_M_03550
Seal_Margin_Mic_M_37500
Seal_Margin_Mic_M_40000
Seal_Margin_Mic_L_00450
Seal_Margin_Mic_M_02360
Seal_Margin_Mic_R_18000
Seal_Margin_Mic_L_02120
Seal_Margin_Mic_L_11200
Seal_Margin_Mic_R_01060
Seal_Margin_Mic_R_37500
Seal_Margin_Mic_L_00355
Seal_Margin_Mic_M_23600
Seal_Margin_Mic_R_00530
Seal_Margin_Mic_L_04750
Seal_Margin_Mic_L_01180
Seal_Margin_Mic_R_02650
Seal_Margin_Mic_M_00375
Seal_Margin_Mic_R_04500
Seal_Margin_Mic_L_25000
Seal_Margin_Mic_R_03000
Seal_Margin_Mic_L_02360
Seal_Margin_Mic_R_00750
Seal_Margin_Mic_R_01250
Seal_Margin_Mic_M_11800
Seal_Margin_Mic_M_07500
Seal_Margin_Mic_L_16000
Seal_Margin_Mic_M_02650
Seal_Margin_Mic_L_08500
Seal_Margin_Mic_L_40000
Seal_Margin_Mic_R_30000
Seal_Margin_Mic_R_19000
Seal_Margin_Mic_M_00560
Seal_Margin_Mic_L_02650
Seal_Margin_Mic_R_01120
Seal_Margin_Mic_M_00475
Seal_Margin_Mic_M_31500
Seal_Margin_Mic_M_13200
Seal_Margin_Mic_R_04750
Seal_Margin_Mic_R_00212
Seal_Margin_Mic_R_01500
Seal_Margin_Mic_M_14000
Seal_Margin_Mic_R_02240
Seal_Margin_Mic_L_23600
Seal_Margin_Mic_M_01700
Seal_Margin_Mic_L_00670
Seal_Margin_Mic_M_10600
Seal_Margin_Mic_M_00400
Seal_Margin_Mic_L_28000
Seal_Margin_Mic_L_02240
Seal_Margin_Mic_L_37500
Seal_Margin_Mic_R_01180
Seal_Margin_Mic_L_06000
Seal_Margin_Mic_R_05000
Seal_Margin_Mic_L_00500
Seal_Margin_Mic_M_03000
Seal_Margin_Mic_M_05000
Seal_Margin_Mic_R_03550
Seal_Margin_Mic_L_03150
Seal_Margin_Mic_R_06700
Seal_Margin_Mic_R_15000
Seal_Margin_Mic_M_21200
Seal_Margin_Mic_R_10600
Seal_Margin_Mic_R_12500
Seal_Margin_Mic_M_00425
Seal_Margin_Mic_R_03750
Seal_Margin_Mic_L_31500
Seal_Margin_Mic_R_01900
Seal_Margin_Mic_M_02000
Seal_Margin_Mic_M_15000
Seal_Margin_Mic_R_07500
Seal_Margin_Mic_R_16000
Seal_Margin_Mic_R_00224
Seal_Margin_Mic_M_01600
Seal_Margin_Mic_L_12500
Seal_Margin_Mic_L_13200
Seal_Margin_Mic_R_00355
Seal_Margin_Mic_M_07100
Seal_Margin_Mic_R_09500
Seal_Margin_Mic_M_03150
Seal_Margin_Mic_M_00900
Seal_Margin_Mic_R_00500
Seal_Margin_Mic_M_09000
Seal_Margin_Mic_L_00475
Seal_Margin_Mic_L_01800
Seal_Margin_Mic_R_02500
Seal_Margin_Mic_L_00375
Seal_Margin_Mic_L_01600
Seal_Margin_Mic_M_02240
Seal_Margin_Mic_R_00850
Seal_Margin_Mic_L_00800
Seal_Margin_Mic_L_03000
Seal_Margin_Mic_M_26500
Seal_Margin_Mic_R_25000
Seal_Margin_Mic_L_06700
Seal_Margin_Mic_M_00355
Seal_Margin_Mic_R_00900
Seal_Margin_Mic_L_00950
Seal_Margin_Mic_R_02120
Seal_Margin_Mic_M_01180
Seal_Margin_Mic_M_01500
Seal_Margin_Mic_M_33500
Seal_Margin_Mic_R_04000
Seal_Margin_Mic_M_00600
Seal_Margin_Mic_M_00450
Seal_Margin_Mic_L_03750
Seal_Margin_Mic_M_00212
Seal_Margin_Mic_L_00250
Seal_Margin_Mic_R_05300
Seal_Margin_Mic_M_00750
Seal_Margin_Mic_M_00500
Seal_Margin_Mic_L_10000
Seal_Margin_Mic_R_07100
Seal_Margin_Mic_R_40000
Seal_Margin_Mic_L_00710
Seal_Margin_Mic_L_00560
Seal_Margin_Mic_M_17000
Seal_Margin_Mic_L_06300
Seal_Margin_Mic_M_00265
Seal_Margin_Mic_M_04000
Seal_Margin_Mic_L_00400
Seal_Margin_Mic_R_08000
Seal_Margin_Mic_M_05300
Seal_Margin_Mic_L_21200
Seal_Margin_Mic_L_04000
Seal_Margin_Mic_M_09500
Seal_Margin_Mic_M_00850
Seal_Margin_Mic_R_06300
Seal_Margin_Mic_R_00335
Seal_Margin_Mic_M_00280
Seal_Margin_Mic_M_00800
Seal_Margin_Mic_L_04500
Seal_Margin_Mic_M_06700
Seal_Margin_Mic_M_01900
Seal_Margin_Mic_M_02800
Seal_Margin_Mic_R_00630
Seal_Margin_Mic_L_08000
Seal_Margin_Mic_M_04250
Seal_Margin_Mic_R_11200
Seal_Margin_Mic_R_01320
Seal_Margin_Mic_L_19000
Seal_Margin_Mic_L_04250
Seal_Margin_Mic_M_03350
Seal_Margin_Mic_M_00200
Seal_Margin_Mic_R_33500
Seal_Margin_Mic_L_00224
Seal_Margin_Mic_R_00236
Seal_Margin_Mic_M_02120
Seal_Margin_Mic_M_18000
Seal_Margin_Mic_R_00400
Seal_Margin_Mic_L_00315
Seal_Margin_Mic_M_05600
Seal_Margin_Mic_R_26500
Seal_Margin_Mic_L_01700
Seal_Margin_Mic_L_15000
Seal_Margin_Mic_R_01600
Seal_Margin_Mic_L_01060
Seal_Margin_Mic_L_05300
Seal_Margin_Mic_M_30000
Seal_Margin_Mic_L_35500
Seal_Margin_Mic_L_22400
","Seal_Margin_Mic_R_13200  1.05
Seal_Margin_Mic_R_00800  -0.93
Seal_Margin_Mic_L_05600  2.94
Seal_Margin_Mic_R_03150  -1.02
Seal_Margin_Mic_L_02800  -1.21
Seal_Margin_Mic_R_03350  -1.41
Seal_Margin_Mic_M_00335  1.18
Seal_Margin_Mic_L_01320  -1.09
Seal_Margin_Mic_M_08000  5.94
Seal_Margin_Mic_M_01320  -0.37
Seal_Margin_Mic_L_01120  -0.81
Seal_Margin_Mic_R_00315  0.48
Seal_Margin_Mic_R_00425  0.29
Seal_Margin_Mic_L_00236  0.25
Seal_Margin_Mic_M_10000  5.38
Seal_Margin_Mic_R_31500  3.1
Seal_Margin_Mic_R_35500  1.69
Seal_Margin_Mic_M_06300  -3.65
Seal_Margin_Mic_L_00630  0.04
Seal_Margin_Mic_L_01250  -0.9
Seal_Margin_Mic_M_11200  6.0
Seal_Margin_Mic_L_01400  -1.28
Seal_Margin_Mic_M_02500  0.23
Seal_Margin_Mic_L_00300  0.25
Seal_Margin_Mic_M_03750  0.05
Seal_Margin_Mic_R_23600  8.22
Seal_Margin_Mic_R_00670  -0.06
Seal_Margin_Mic_L_00425  0.11
Seal_Margin_Mic_R_00560  0.16
Seal_Margin_Mic_L_18000  -0.32
Seal_Margin_Mic_R_00475  0.23
Seal_Margin_Mic_M_01800  -4.03
Seal_Margin_Mic_L_07100  4.17
Seal_Margin_Mic_L_09000  6.08
Seal_Margin_Mic_L_03350  0.33
Seal_Margin_Mic_M_20000  -8.8
Seal_Margin_Mic_R_09000  5.64
Seal_Margin_Mic_M_08500  7.56
Seal_Margin_Mic_R_02360  0.33
Seal_Margin_Mic_R_06000  4.49
Seal_Margin_Mic_L_05000  0.89
Seal_Margin_Mic_R_00950  -1.56
Seal_Margin_Mic_M_01250  0.1
Seal_Margin_Mic_M_00300  1.38
Seal_Margin_Mic_R_28000  8.88
Seal_Margin_Mic_R_22400  3.47
Seal_Margin_Mic_M_00710  0.47
Seal_Margin_Mic_R_00250  0.51
Seal_Margin_Mic_L_00600  0.08
Seal_Margin_Mic_M_22400  0.35
Seal_Margin_Mic_M_35500  6.88
Seal_Margin_Mic_M_28000  7.47
Seal_Margin_Mic_L_07500  4.86
Seal_Margin_Mic_R_00710  -0.27
Seal_Margin_Mic_M_01000  -0.78
Seal_Margin_Mic_M_00530  0.85
Seal_Margin_Mic_L_00335  0.2
Seal_Margin_Mic_R_01700  -3.38
Seal_Margin_Mic_M_04500  2.78
Seal_Margin_Mic_L_00530  0.09
Seal_Margin_Mic_R_08500  6.58
Seal_Margin_Mic_R_00450  0.26
Seal_Margin_Mic_M_01120  0.1
Seal_Margin_Mic_L_17000  -2.33
Seal_Margin_Mic_R_10000  6.1
Seal_Margin_Mic_M_16000  6.82
Seal_Margin_Mic_R_20000  -1.34
Seal_Margin_Mic_L_00850  -1.22
Seal_Margin_Mic_L_30000  -0.99
Seal_Margin_Mic_R_17000  -1.89
Seal_Margin_Mic_R_05600  3.25
Seal_Margin_Mic_L_01000  -1.49
Seal_Margin_Mic_L_14000  -3.09
Seal_Margin_Mic_L_01900  -4.67
Seal_Margin_Mic_L_10600  4.89
Seal_Margin_Mic_M_06000  -4.11
Seal_Margin_Mic_R_02000  -3.97
Seal_Margin_Mic_R_21200  0.4
Seal_Margin_Mic_M_00315  1.27
Seal_Margin_Mic_R_04250  4.22
Seal_Margin_Mic_R_00600  0.13
Seal_Margin_Mic_R_01400  -2.52
Seal_Margin_Mic_R_14000  1.52
Seal_Margin_Mic_L_01500  -1.54
Seal_Margin_Mic_R_01000  -1.4
Seal_Margin_Mic_R_02800  2.01
Seal_Margin_Mic_L_00200  0.23
Seal_Margin_Mic_R_00300  0.51
Seal_Margin_Mic_L_00750  -0.53
Seal_Margin_Mic_R_00265  0.53
Seal_Margin_Mic_L_02500  -1.67
Seal_Margin_Mic_M_01400  -0.88
Seal_Margin_Mic_R_00200  0.45
Seal_Margin_Mic_M_00950  -0.82
Seal_Margin_Mic_L_03550  1.38
Seal_Margin_Mic_L_20000  -0.46
Seal_Margin_Mic_M_04750  -1.93
Seal_Margin_Mic_L_26500  -5.67
Seal_Margin_Mic_M_19000  -8.26
Seal_Margin_Mic_L_00280  0.27
Seal_Margin_Mic_L_33500  7.21
Seal_Margin_Mic_L_00900  -1.49
Seal_Margin_Mic_R_00280  0.53
Seal_Margin_Mic_L_11800  -2.0
Seal_Margin_Mic_R_11800  0.72
Seal_Margin_Mic_M_00670  0.66
Seal_Margin_Mic_L_00265  0.27
Seal_Margin_Mic_M_12500  8.68
Seal_Margin_Mic_M_01060  -0.48
Seal_Margin_Mic_L_09500  5.3
Seal_Margin_Mic_R_01800  -4.02
Seal_Margin_Mic_M_25000  7.06
Seal_Margin_Mic_M_00630  0.76
Seal_Margin_Mic_L_00212  0.22
Seal_Margin_Mic_L_02000  -4.19
Seal_Margin_Mic_M_00250  1.9
Seal_Margin_Mic_R_00375  0.36
Seal_Margin_Mic_M_03550  -1.53
Seal_Margin_Mic_M_37500  10.07
Seal_Margin_Mic_M_40000  -2.38
Seal_Margin_Mic_L_00450  0.1
Seal_Margin_Mic_M_02360  0.25
Seal_Margin_Mic_R_18000  -2.7
Seal_Margin_Mic_L_02120  -2.54
Seal_Margin_Mic_L_11200  -0.61
Seal_Margin_Mic_R_01060  -1.1
Seal_Margin_Mic_R_37500  9.66
Seal_Margin_Mic_L_00355  0.17
Seal_Margin_Mic_M_23600  6.49
Seal_Margin_Mic_R_00530  0.18
Seal_Margin_Mic_L_04750  1.31
Seal_Margin_Mic_L_01180  -0.73
Seal_Margin_Mic_R_02650  1.89
Seal_Margin_Mic_M_00375  1.04
Seal_Margin_Mic_R_04500  4.38
Seal_Margin_Mic_L_25000  -5.91
Seal_Margin_Mic_R_03000  0.58
Seal_Margin_Mic_L_02360  -1.0
Seal_Margin_Mic_R_00750  -0.57
Seal_Margin_Mic_R_01250  -1.47
Seal_Margin_Mic_M_11800  8.69
Seal_Margin_Mic_M_07500  4.05
Seal_Margin_Mic_L_16000  -3.51
Seal_Margin_Mic_M_02650  0.35
Seal_Margin_Mic_L_08500  6.64
Seal_Margin_Mic_L_40000  0.3
Seal_Margin_Mic_R_30000  8.3
Seal_Margin_Mic_R_19000  -2.61
Seal_Margin_Mic_M_00560  0.83
Seal_Margin_Mic_L_02650  -1.81
Seal_Margin_Mic_R_01120  -0.86
Seal_Margin_Mic_M_00475  0.87
Seal_Margin_Mic_M_31500  10.19
Seal_Margin_Mic_M_13200  7.41
Seal_Margin_Mic_R_04750  3.16
Seal_Margin_Mic_R_00212  0.44
Seal_Margin_Mic_R_01500  -2.73
Seal_Margin_Mic_M_14000  7.42
Seal_Margin_Mic_R_02240  -1.06
Seal_Margin_Mic_L_23600  -4.04
Seal_Margin_Mic_M_01700  -3.16
Seal_Margin_Mic_L_00670  -0.05
Seal_Margin_Mic_M_10600  4.53
Seal_Margin_Mic_M_00400  0.98
Seal_Margin_Mic_L_28000  -4.28
Seal_Margin_Mic_L_02240  -0.93
Seal_Margin_Mic_L_37500  2.91
Seal_Margin_Mic_R_01180  -0.98
Seal_Margin_Mic_L_06000  5.77
Seal_Margin_Mic_R_05000  2.37
Seal_Margin_Mic_L_00500  0.09
Seal_Margin_Mic_M_03000  -1.17
Seal_Margin_Mic_M_05000  -5.74
Seal_Margin_Mic_R_03550  -0.71
Seal_Margin_Mic_L_03150  -0.33
Seal_Margin_Mic_R_06700  4.27
Seal_Margin_Mic_R_15000  1.09
Seal_Margin_Mic_M_21200  -5.34
Seal_Margin_Mic_R_10600  5.84
Seal_Margin_Mic_R_12500  0.75
Seal_Margin_Mic_M_00425  0.93
Seal_Margin_Mic_R_03750  0.77
Seal_Margin_Mic_L_31500  5.04
Seal_Margin_Mic_R_01900  -4.32
Seal_Margin_Mic_M_02000  -3.91
Seal_Margin_Mic_M_15000  8.31
Seal_Margin_Mic_R_07500  6.6
Seal_Margin_Mic_R_16000  -0.45
Seal_Margin_Mic_R_00224  0.45
Seal_Margin_Mic_M_01600  -2.16
Seal_Margin_Mic_L_12500  -2.26
Seal_Margin_Mic_L_13200  -2.39
Seal_Margin_Mic_R_00355  0.4
Seal_Margin_Mic_M_07100  0.02
Seal_Margin_Mic_R_09500  5.64
Seal_Margin_Mic_M_03150  -2.02
Seal_Margin_Mic_M_00900  -0.7
Seal_Margin_Mic_R_00500  0.2
Seal_Margin_Mic_M_09000  7.97
Seal_Margin_Mic_L_00475  0.09
Seal_Margin_Mic_L_01800  -4.16
Seal_Margin_Mic_R_02500  1.17
Seal_Margin_Mic_L_00375  0.15
Seal_Margin_Mic_L_01600  -2.11
Seal_Margin_Mic_M_02240  -0.15
Seal_Margin_Mic_R_00850  -1.26
Seal_Margin_Mic_L_00800  -0.88
Seal_Margin_Mic_L_03000  -0.62
Seal_Margin_Mic_M_26500  7.19
Seal_Margin_Mic_R_25000  8.76
Seal_Margin_Mic_L_06700  4.91
Seal_Margin_Mic_M_00355  1.1
Seal_Margin_Mic_R_00900  -1.5
Seal_Margin_Mic_L_00950  -1.59
Seal_Margin_Mic_R_02120  -2.8
Seal_Margin_Mic_M_01180  0.39
Seal_Margin_Mic_M_01500  -1.43
Seal_Margin_Mic_M_33500  8.54
Seal_Margin_Mic_R_04000  2.69
Seal_Margin_Mic_M_00600  0.81
Seal_Margin_Mic_M_00450  0.89
Seal_Margin_Mic_L_03750  1.97
Seal_Margin_Mic_M_00212  1.7
Seal_Margin_Mic_L_00250  0.26
Seal_Margin_Mic_R_05300  2.41
Seal_Margin_Mic_M_00750  0.19
Seal_Margin_Mic_M_00500  0.86
Seal_Margin_Mic_L_10000  5.32
Seal_Margin_Mic_R_07100  4.9
Seal_Margin_Mic_R_40000  9.04
Seal_Margin_Mic_L_00710  -0.24
Seal_Margin_Mic_L_00560  0.09
Seal_Margin_Mic_M_17000  2.07
Seal_Margin_Mic_L_06300  6.84
Seal_Margin_Mic_M_00265  1.69
Seal_Margin_Mic_M_04000  2.41
Seal_Margin_Mic_L_00400  0.12
Seal_Margin_Mic_R_08000  7.35
Seal_Margin_Mic_M_05300  -6.52
Seal_Margin_Mic_L_21200  -0.59
Seal_Margin_Mic_L_04000  1.71
Seal_Margin_Mic_M_09500  6.85
Seal_Margin_Mic_M_00850  -0.46
Seal_Margin_Mic_R_06300  4.78
Seal_Margin_Mic_R_00335  0.44
Seal_Margin_Mic_M_00280  1.52
Seal_Margin_Mic_M_00800  -0.15
Seal_Margin_Mic_L_04500  1.73
Seal_Margin_Mic_M_06700  -3.09
Seal_Margin_Mic_M_01900  -4.36
Seal_Margin_Mic_M_02800  0.1
Seal_Margin_Mic_R_00630  0.06
Seal_Margin_Mic_L_08000  5.87
Seal_Margin_Mic_M_04250  3.91
Seal_Margin_Mic_R_11200  1.61
Seal_Margin_Mic_R_01320  -2.07
Seal_Margin_Mic_L_19000  1.39
Seal_Margin_Mic_L_04250  1.69
Seal_Margin_Mic_M_03350  -2.0
Seal_Margin_Mic_M_00200  1.08
Seal_Margin_Mic_R_33500  1.61
Seal_Margin_Mic_L_00224  0.23
Seal_Margin_Mic_R_00236  0.47
Seal_Margin_Mic_M_02120  -2.27
Seal_Margin_Mic_M_18000  -3.17
Seal_Margin_Mic_R_00400  0.33
Seal_Margin_Mic_L_00315  0.23
Seal_Margin_Mic_M_05600  -5.43
Seal_Margin_Mic_R_26500  8.9
Seal_Margin_Mic_L_01700  -3.11
Seal_Margin_Mic_L_15000  -3.83
Seal_Margin_Mic_R_01600  -2.91
Seal_Margin_Mic_L_01060  -1.16
Seal_Margin_Mic_L_05300  1.2
Seal_Margin_Mic_M_30000  8.25
Seal_Margin_Mic_L_35500  8.63
Seal_Margin_Mic_L_22400  3.34
",1,0,0,0,0,
2020-08-05,D,G950-04226-02,2020-08-05T08:10:23Z,,AUDIO-M39-07,WIP0804105APAM0EM,"DUT_connect
","DUT_connect  None
",1,0,0,0,0,
2020-08-05,D,G950-04226-02,2020-08-05T08:08:58Z,,AUDIO-N39-06,WIP0804105APALNEJ,"DUT_connect
","DUT_connect  None
",1,0,0,0,0,
2020-08-04,D,G950-04226-01,2020-08-04T14:00:13Z,,AUDIO-N39-08,WIP0803105APALDVT,"Check_Missing_Mic
Check_MicWave_Exist
","Check_Missing_Mic  None
Check_MicWave_Exist  0.0
",0,0,1,0,0,
2020-08-05,D,G950-04226-02,2020-08-05T08:15:38Z,,AUDIO-N39-06,WIP0804105APALNE6,"DUT_connect
","DUT_connect  None
",1,0,0,0,0,
