Tata,D/N,Config,Test time,Line,Fixture,SN,Failure Mode,Failure Description,Retest,NTF,Fail,SOF,OFFLINE
2020-08-05,D,G950-04226-02,2020-08-05T07:34:17Z,M29,LED-M2902,WIP0804105APALLEN,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T08:07:32Z,N29,LED-N2902,WIP0804105APALW4E,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T08:08:11Z,N19,LED-N1901,WIP0803105APAL2V7,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T07:26:36Z,M29,LED-M2903,WIP0804105APALL9W,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T08:08:35Z,N19,LED-N1905,WIP0803105APAL2RY,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T08:10:21Z,M39,LED-M3904,WIP0804105APAM0DX,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T07:34:17Z,M29,LED-M2902,WIP0804105APALLEN,device offline,device offline YES,0,0,0,0,1,
2020-08-04,D,G950-04226-02,2020-08-04T21:16:18Z,N29,LED-N2905,WIP0803105APALD14,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T08:11:29Z,N19,LED-N1905,WIP0803105APAL2RR,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T08:11:43Z,M39,LED-M3905,WIP0804105APAM0D7,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T07:34:17Z,M29,LED-M2902,WIP0804105APALLEN,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T07:26:36Z,M29,LED-M2903,WIP0804105APALL9W,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T07:34:17Z,M29,LED-M2902,WIP0804105APALLEN,device offline,device offline YES,0,0,0,0,1,
2020-08-04,D,G950-04226-02,2020-08-04T21:16:18Z,N29,LED-N2905,WIP0803105APALD14,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T08:14:42Z,N29,LED-N2902,WIP0804105APALW3K,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T07:34:17Z,M29,LED-M2902,WIP0804105APALLEN,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T07:34:17Z,M29,LED-M2902,WIP0804105APALLEN,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T08:19:28Z,N29,LED-N2905,WIP0804105APALW36,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T08:19:28Z,N29,LED-N2905,WIP0804105APALW36,device offline,device offline YES,0,0,0,0,1,
