Tata,D/N,Config,Test time,Line,Fixture,SN,Failure Mode,Failure Description,Retest,NTF,Fail,SOF,OFFLINE
2020-08-05,D,GA00781-GB,2020-08-05T07:56:12Z,K49,PROVISION-K4903,WIP0803105APAL31D,"file_gatekeeper_test_chamber_cal
","file_gatekeeper_test_chamber_cal  FAIL
",1,0,0,0,0,
2020-08-05,D,GA00781-GB,2020-08-05T07:24:37Z,K49,PROVISION-K4907,WIP0803105APAL3CK,"flash_fsi
","flash_fsi  FAIL
",0,1,0,0,0,
2020-08-05,D,GA00781-GB,2020-08-05T07:32:26Z,k49,PROVISION-k4902,WIP0803105APALAE9,"flash_fsi
","flash_fsi  FAIL
",0,1,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T08:00:58Z,L29,PROVISION-L2901,WIP0803105APAL74D,"check_led_file
push_hwtxt
check_sounds_file
check_mode
sku_otp
set_locale
set_anim
sku_fdv
sku_fsi
led_cal
set_color
store_wifi_txpower
boot_mode
","check_led_file  None
push_hwtxt  None
check_sounds_file  None
check_mode  None
sku_otp  None
set_locale  None
set_anim  None
sku_fdv  None
sku_fsi  None
led_cal  None
set_color  FAIL
store_wifi_txpower  None
boot_mode  None
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T08:04:37Z,L29,PROVISION-L2903,WIP0803105APAL75T,"file_gatekeeper_test_chamber_cal
","file_gatekeeper_test_chamber_cal  FAIL
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T08:04:37Z,L29,PROVISION-L2903,WIP0803105APAL74R,"file_gatekeeper_test_chamber_cal
","file_gatekeeper_test_chamber_cal  FAIL
",1,0,0,0,0,
2020-08-05,D,GA00781-GB,2020-08-05T07:44:47Z,K49,PROVISION-K4908,WIP0803105APAL3GP,"wifi_check
","wifi_check  Timeout
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T08:08:29Z,L29,PROVISION-L2903,WIP0803105APAL7JP,"file_gatekeeper_test_chamber_cal
","file_gatekeeper_test_chamber_cal  FAIL
",1,0,0,0,0,
2020-08-05,D,GA00781-GB,2020-08-05T08:14:43Z,K49,PROVISION-K4904,WIP0803105APALADB,"flash_fsi
push_fsi
check_fsi
check_sku
","flash_fsi  None
push_fsi  FAIL
check_fsi  None
check_sku  None
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T08:15:31Z,L29,PROVISION-L2901,WIP0803105APAL7DC,"file_gatekeeper_test_chamber_cal
","file_gatekeeper_test_chamber_cal  FAIL
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T08:18:06Z,L29,PROVISION-L2901,WIP0803105APALA84,"file_gatekeeper_test_chamber_cal
","file_gatekeeper_test_chamber_cal  FAIL
",1,0,0,0,0,
2020-08-05,D,GA00781-GB,2020-08-05T08:23:40Z,K49,PROVISION-K4907,WIP0803105APAKMK6,"file_gatekeeper_test_chamber_cal
","file_gatekeeper_test_chamber_cal  FAIL
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T08:21:00Z,L29,PROVISION-L2909,WIP0803105APALFEJ,"led_cal
check_mode
sku_otp
set_anim
sku_fsi
sku_fdv
store_wifi_txpower
boot_mode
","led_cal  FAIL
check_mode  None
sku_otp  None
set_anim  None
sku_fsi  None
sku_fdv  None
store_wifi_txpower  None
boot_mode  None
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T08:24:52Z,L29,PROVISION-L2904,WIP0803105APAL47C,"flash_fsi
push_fsi
check_fsi
check_sku
","flash_fsi  None
push_fsi  FAIL
check_fsi  None
check_sku  None
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T08:26:05Z,L29,PROVISION-L2908,WIP0803105APALFE7,"flash_fsi
push_fsi
check_fsi
check_sku
","flash_fsi  None
push_fsi  FAIL
check_fsi  None
check_sku  None
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T08:26:30Z,L29,PROVISION-L2907,WIP0803105APAL460,"check_led_file
push_hwtxt
led_cal
check_mode
sku_otp
set_locale
set_anim
sku_fdv
sku_fsi
check_sounds_file
store_wifi_txpower
boot_mode
","check_led_file  None
push_hwtxt  None
led_cal  None
check_mode  None
sku_otp  None
set_locale  FAIL
set_anim  None
sku_fdv  None
sku_fsi  None
check_sounds_file  None
store_wifi_txpower  None
boot_mode  None
",1,0,0,0,0,
2020-08-05,D,GA00781-GB,2020-08-05T08:27:23Z,K49,PROVISION-K4903,WIP0803105APAKN3H,"file_gatekeeper_test_chamber_cal
","file_gatekeeper_test_chamber_cal  FAIL
",1,0,0,0,0,
2020-08-04,D,GA00781-ES,2020-08-04T19:25:33Z,L39,PROVISION-L3905,WIP0722105APAHLE0,"wifi_check
","wifi_check  Timeout
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T08:29:37Z,L29,PROVISION-L2904,WIP0803105APAKWKP,"file_gatekeeper_test_chamber_cal
","file_gatekeeper_test_chamber_cal  FAIL
",1,0,0,0,0,
