Tata,D/N,Config,Test time,Line,Fixture,SN,Failure Mode,Failure Description,Retest,NTF,Fail,SOF,OFFLINE
2020-08-05,D,G950-04226-02,2020-08-05T08:07:16Z,N29,RF_OTA-N2906,WIP0804105APALW3E,"N_BW20_MCS0_CH6_C0_sem_margin_upper_a
N_BW20_MCS0_CH6_C0_rf_cal_check
N_BW20_MCS0_CH6_C0_rx_level
N_BW20_MCS0_CH6_C0_sem_margin_upper_b
N_BW20_MCS0_CH6_C0_sem_margin_low_b
N_BW20_MCS0_CH6_C0_sem_margin_upper_d
N_BW20_MCS0_CH6_C0_sem_margin_low_d
N_BW20_MCS0_CH6_C0_sem_margin_upper_c
N_BW20_MCS0_CH6_C0_sense_per
N_BW20_MCS0_CH6_C0_clk_err
N_BW20_MCS0_CH6_C0_evm_avg
N_BW20_MCS0_CH6_C0_max_txp_avg
N_BW20_MCS0_CH6_C0_freq_err
N_BW20_MCS0_CH6_C0_sem_margin_low_c
N_BW20_MCS0_CH6_C0_sem_margin_low_a
","N_BW20_MCS0_CH6_C0_sem_margin_upper_a  None
N_BW20_MCS0_CH6_C0_rf_cal_check  None
N_BW20_MCS0_CH6_C0_rx_level  None
N_BW20_MCS0_CH6_C0_sem_margin_upper_b  None
N_BW20_MCS0_CH6_C0_sem_margin_low_b  None
N_BW20_MCS0_CH6_C0_sem_margin_upper_d  None
N_BW20_MCS0_CH6_C0_sem_margin_low_d  None
N_BW20_MCS0_CH6_C0_sem_margin_upper_c  None
N_BW20_MCS0_CH6_C0_sense_per  None
N_BW20_MCS0_CH6_C0_clk_err  None
N_BW20_MCS0_CH6_C0_evm_avg  None
N_BW20_MCS0_CH6_C0_max_txp_avg  None
N_BW20_MCS0_CH6_C0_freq_err  None
N_BW20_MCS0_CH6_C0_sem_margin_low_c  None
N_BW20_MCS0_CH6_C0_sem_margin_low_a  None
",1,0,0,0,0,
2020-08-05,D,G950-04226-02,2020-08-05T08:06:16Z,N39,RF_OTA-N3901,WIP0804105APALNE1,"N_BW20_MCS7_CH165_C0_max_txp_avg
","N_BW20_MCS7_CH165_C0_max_txp_avg  10.96
",1,0,0,0,0,
2020-08-05,D,G950-04226-02,2020-08-05T08:06:26Z,N29,RF_OTA-N2902,WIP0804105APALW3D,"N_BW20_MCS0_CH6_C0_sem_margin_upper_a
N_BW20_MCS0_CH6_C0_rx_level
N_BW20_MCS0_CH6_C0_sem_margin_upper_b
N_BW20_MCS0_CH6_C0_freq_err
N_BW20_MCS0_CH6_C0_sem_margin_upper_d
N_BW20_MCS0_CH6_C0_sem_margin_upper_c
N_BW20_MCS0_CH6_C0_sense_per
N_BW20_MCS0_CH6_C0_sem_margin_low_d
N_BW20_MCS0_CH6_C0_max_txp_avg
N_BW20_MCS0_CH6_C0_sem_margin_low_b
N_BW20_MCS0_CH6_C0_sem_margin_low_c
N_BW20_MCS0_CH6_C0_sem_margin_low_a
","N_BW20_MCS0_CH6_C0_sem_margin_upper_a  nan
N_BW20_MCS0_CH6_C0_rx_level  nan
N_BW20_MCS0_CH6_C0_sem_margin_upper_b  nan
N_BW20_MCS0_CH6_C0_freq_err  nan
N_BW20_MCS0_CH6_C0_sem_margin_upper_d  nan
N_BW20_MCS0_CH6_C0_sem_margin_upper_c  nan
N_BW20_MCS0_CH6_C0_sense_per  nan
N_BW20_MCS0_CH6_C0_sem_margin_low_d  nan
N_BW20_MCS0_CH6_C0_max_txp_avg  nan
N_BW20_MCS0_CH6_C0_sem_margin_low_b  nan
N_BW20_MCS0_CH6_C0_sem_margin_low_c  nan
N_BW20_MCS0_CH6_C0_sem_margin_low_a  nan
",0,1,0,0,0,
2020-08-05,D,G950-04226-02,2020-08-05T08:10:58Z,N19,RF_OTA-N1905,WIP0803105APAL2RN,"N_BW20_MCS0_CH6_C0_sem_margin_upper_a
N_BW20_MCS0_CH6_C0_rf_cal_check
N_BW20_MCS0_CH6_C0_rx_level
N_BW20_MCS0_CH6_C0_sem_margin_upper_b
N_BW20_MCS0_CH6_C0_sem_margin_low_b
N_BW20_MCS0_CH6_C0_sem_margin_upper_d
N_BW20_MCS0_CH6_C0_sem_margin_low_d
N_BW20_MCS0_CH6_C0_sem_margin_upper_c
N_BW20_MCS0_CH6_C0_sense_per
N_BW20_MCS0_CH6_C0_clk_err
N_BW20_MCS0_CH6_C0_evm_avg
N_BW20_MCS0_CH6_C0_max_txp_avg
N_BW20_MCS0_CH6_C0_freq_err
N_BW20_MCS0_CH6_C0_sem_margin_low_c
N_BW20_MCS0_CH6_C0_sem_margin_low_a
","N_BW20_MCS0_CH6_C0_sem_margin_upper_a  None
N_BW20_MCS0_CH6_C0_rf_cal_check  None
N_BW20_MCS0_CH6_C0_rx_level  None
N_BW20_MCS0_CH6_C0_sem_margin_upper_b  None
N_BW20_MCS0_CH6_C0_sem_margin_low_b  None
N_BW20_MCS0_CH6_C0_sem_margin_upper_d  None
N_BW20_MCS0_CH6_C0_sem_margin_low_d  None
N_BW20_MCS0_CH6_C0_sem_margin_upper_c  None
N_BW20_MCS0_CH6_C0_sense_per  None
N_BW20_MCS0_CH6_C0_clk_err  None
N_BW20_MCS0_CH6_C0_evm_avg  None
N_BW20_MCS0_CH6_C0_max_txp_avg  None
N_BW20_MCS0_CH6_C0_freq_err  None
N_BW20_MCS0_CH6_C0_sem_margin_low_c  None
N_BW20_MCS0_CH6_C0_sem_margin_low_a  None
",1,0,0,0,0,
2020-08-05,D,G950-04226-02,2020-08-05T08:09:30Z,M29,RF_OTA-M2901,WIP0804105APALL4C,"N_BW20_MCS0_CH6_C0_sem_margin_upper_a
N_BW20_MCS0_CH6_C0_rf_cal_check
N_BW20_MCS0_CH6_C0_max_txp_avg
N_BW20_MCS0_CH6_C0_sem_margin_upper_b
N_BW20_MCS0_CH6_C0_sem_margin_low_b
N_BW20_MCS0_CH6_C0_sem_margin_upper_d
N_BW20_MCS0_CH6_C0_sem_margin_low_d
N_BW20_MCS0_CH6_C0_sem_margin_upper_c
N_BW20_MCS0_CH6_C0_sense_per
N_BW20_MCS0_CH6_C0_rx_level
N_BW20_MCS0_CH6_C0_clk_err
N_BW20_MCS0_CH6_C0_evm_avg
mlb_sn
N_BW20_MCS0_CH6_C0_freq_err
N_BW20_MCS0_CH6_C0_sem_margin_low_c
N_BW20_MCS0_CH6_C0_sem_margin_low_a
","N_BW20_MCS0_CH6_C0_sem_margin_upper_a  None
N_BW20_MCS0_CH6_C0_rf_cal_check  None
N_BW20_MCS0_CH6_C0_max_txp_avg  None
N_BW20_MCS0_CH6_C0_sem_margin_upper_b  None
N_BW20_MCS0_CH6_C0_sem_margin_low_b  None
N_BW20_MCS0_CH6_C0_sem_margin_upper_d  None
N_BW20_MCS0_CH6_C0_sem_margin_low_d  None
N_BW20_MCS0_CH6_C0_sem_margin_upper_c  None
N_BW20_MCS0_CH6_C0_sense_per  None
N_BW20_MCS0_CH6_C0_rx_level  None
N_BW20_MCS0_CH6_C0_clk_err  None
N_BW20_MCS0_CH6_C0_evm_avg  None
mlb_sn  0
N_BW20_MCS0_CH6_C0_freq_err  None
N_BW20_MCS0_CH6_C0_sem_margin_low_c  None
N_BW20_MCS0_CH6_C0_sem_margin_low_a  None
",1,0,0,0,0,
2020-08-05,D,G950-04226-02,2020-08-05T08:10:12Z,M39,RF_OTA-M3903,WIP0804105APAM0CW,"N_BW20_MCS7_CH165_C0_rf_cal_check
","N_BW20_MCS7_CH165_C0_rf_cal_check  -25.0
",0,0,1,0,0,
2020-08-05,D,G950-04226-02,2020-08-05T08:12:44Z,N29,RF_OTA-N2907,WIP0804105APALW31,"N_BW20_MCS7_CH165_C0_clk_err
N_BW20_MCS7_CH165_C0_freq_err
N_BW20_MCS7_CH165_C0_max_txp_avg
N_BW20_MCS7_CH165_C0_evm_avg
N_BW20_MCS7_CH165_C0_sense_per
N_BW20_MCS7_CH165_C0_sem_margin_low_c
N_BW20_MCS7_CH165_C0_sem_margin_low_b
N_BW20_MCS7_CH165_C0_sem_margin_low_a
N_BW20_MCS7_CH165_C0_rf_cal_check
N_BW20_MCS7_CH165_C0_rx_level
N_BW20_MCS7_CH165_C0_sem_margin_low_d
N_BW20_MCS7_CH165_C0_sem_margin_upper_c
N_BW20_MCS7_CH165_C0_sem_margin_upper_b
N_BW20_MCS7_CH165_C0_sem_margin_upper_a
N_BW20_MCS7_CH165_C0_sem_margin_upper_d
","N_BW20_MCS7_CH165_C0_clk_err  None
N_BW20_MCS7_CH165_C0_freq_err  None
N_BW20_MCS7_CH165_C0_max_txp_avg  None
N_BW20_MCS7_CH165_C0_evm_avg  None
N_BW20_MCS7_CH165_C0_sense_per  None
N_BW20_MCS7_CH165_C0_sem_margin_low_c  None
N_BW20_MCS7_CH165_C0_sem_margin_low_b  None
N_BW20_MCS7_CH165_C0_sem_margin_low_a  None
N_BW20_MCS7_CH165_C0_rf_cal_check  None
N_BW20_MCS7_CH165_C0_rx_level  None
N_BW20_MCS7_CH165_C0_sem_margin_low_d  None
N_BW20_MCS7_CH165_C0_sem_margin_upper_c  None
N_BW20_MCS7_CH165_C0_sem_margin_upper_b  None
N_BW20_MCS7_CH165_C0_sem_margin_upper_a  None
N_BW20_MCS7_CH165_C0_sem_margin_upper_d  None
",1,0,0,0,0,
2020-08-05,D,G950-04226-02,2020-08-05T08:13:41Z,N19,RF_OTA-N1901,WIP0803105APAL2RE,"N_BW20_MCS7_CH36_C1_sem_margin_low_d
N_BW20_MCS7_CH36_C1_sem_margin_low_b
N_BW20_MCS7_CH36_C1_clk_err
N_BW20_MCS7_CH36_C1_sem_margin_low_a
N_BW20_MCS7_CH36_C1_sense_per
N_BW20_MCS7_CH36_C1_max_txp_avg
N_BW20_MCS7_CH36_C1_sem_margin_upper_d
N_BW20_MCS7_CH36_C1_rx_level
N_BW20_MCS7_CH36_C1_freq_err
N_BW20_MCS7_CH36_C1_sem_margin_upper_c
N_BW20_MCS7_CH36_C1_evm_avg
N_BW20_MCS7_CH36_C1_sem_margin_upper_a
N_BW20_MCS7_CH36_C1_sem_margin_upper_b
N_BW20_MCS7_CH36_C1_rf_cal_check
N_BW20_MCS7_CH36_C1_sem_margin_low_c
","N_BW20_MCS7_CH36_C1_sem_margin_low_d  None
N_BW20_MCS7_CH36_C1_sem_margin_low_b  None
N_BW20_MCS7_CH36_C1_clk_err  None
N_BW20_MCS7_CH36_C1_sem_margin_low_a  None
N_BW20_MCS7_CH36_C1_sense_per  None
N_BW20_MCS7_CH36_C1_max_txp_avg  None
N_BW20_MCS7_CH36_C1_sem_margin_upper_d  None
N_BW20_MCS7_CH36_C1_rx_level  None
N_BW20_MCS7_CH36_C1_freq_err  None
N_BW20_MCS7_CH36_C1_sem_margin_upper_c  None
N_BW20_MCS7_CH36_C1_evm_avg  None
N_BW20_MCS7_CH36_C1_sem_margin_upper_a  None
N_BW20_MCS7_CH36_C1_sem_margin_upper_b  None
N_BW20_MCS7_CH36_C1_rf_cal_check  None
N_BW20_MCS7_CH36_C1_sem_margin_low_c  None
",1,0,0,0,0,
2020-08-05,D,G950-04226-02,2020-08-05T08:15:21Z,M39,RF_OTA-M3906,WIP0804105APAM0CE,"N_BW20_MCS0_CH6_C0_sem_margin_upper_a
N_BW20_MCS0_CH6_C0_rf_cal_check
N_BW20_MCS0_CH6_C0_rx_level
N_BW20_MCS0_CH6_C0_sem_margin_upper_b
N_BW20_MCS0_CH6_C0_sem_margin_low_b
N_BW20_MCS0_CH6_C0_sem_margin_upper_d
N_BW20_MCS0_CH6_C0_sem_margin_low_d
N_BW20_MCS0_CH6_C0_sem_margin_upper_c
N_BW20_MCS0_CH6_C0_sense_per
N_BW20_MCS0_CH6_C0_clk_err
N_BW20_MCS0_CH6_C0_evm_avg
N_BW20_MCS0_CH6_C0_max_txp_avg
N_BW20_MCS0_CH6_C0_freq_err
N_BW20_MCS0_CH6_C0_sem_margin_low_c
N_BW20_MCS0_CH6_C0_sem_margin_low_a
","N_BW20_MCS0_CH6_C0_sem_margin_upper_a  None
N_BW20_MCS0_CH6_C0_rf_cal_check  None
N_BW20_MCS0_CH6_C0_rx_level  None
N_BW20_MCS0_CH6_C0_sem_margin_upper_b  None
N_BW20_MCS0_CH6_C0_sem_margin_low_b  None
N_BW20_MCS0_CH6_C0_sem_margin_upper_d  None
N_BW20_MCS0_CH6_C0_sem_margin_low_d  None
N_BW20_MCS0_CH6_C0_sem_margin_upper_c  None
N_BW20_MCS0_CH6_C0_sense_per  None
N_BW20_MCS0_CH6_C0_clk_err  None
N_BW20_MCS0_CH6_C0_evm_avg  None
N_BW20_MCS0_CH6_C0_max_txp_avg  None
N_BW20_MCS0_CH6_C0_freq_err  None
N_BW20_MCS0_CH6_C0_sem_margin_low_c  None
N_BW20_MCS0_CH6_C0_sem_margin_low_a  None
",1,0,0,0,0,
2020-08-05,D,G950-04226-02,2020-08-05T08:16:59Z,N19,RF_OTA-N1905,WIP0803105APAL2R6,"N_BW20_MCS0_CH6_C0_sem_margin_upper_a
N_BW20_MCS0_CH6_C0_rf_cal_check
N_BW20_MCS0_CH6_C0_rx_level
N_BW20_MCS0_CH6_C0_sem_margin_upper_b
N_BW20_MCS0_CH6_C0_sem_margin_low_b
N_BW20_MCS0_CH6_C0_sem_margin_upper_d
N_BW20_MCS0_CH6_C0_sem_margin_low_d
N_BW20_MCS0_CH6_C0_sem_margin_upper_c
N_BW20_MCS0_CH6_C0_sense_per
N_BW20_MCS0_CH6_C0_clk_err
N_BW20_MCS0_CH6_C0_evm_avg
N_BW20_MCS0_CH6_C0_max_txp_avg
N_BW20_MCS0_CH6_C0_freq_err
N_BW20_MCS0_CH6_C0_sem_margin_low_c
N_BW20_MCS0_CH6_C0_sem_margin_low_a
","N_BW20_MCS0_CH6_C0_sem_margin_upper_a  None
N_BW20_MCS0_CH6_C0_rf_cal_check  None
N_BW20_MCS0_CH6_C0_rx_level  None
N_BW20_MCS0_CH6_C0_sem_margin_upper_b  None
N_BW20_MCS0_CH6_C0_sem_margin_low_b  None
N_BW20_MCS0_CH6_C0_sem_margin_upper_d  None
N_BW20_MCS0_CH6_C0_sem_margin_low_d  None
N_BW20_MCS0_CH6_C0_sem_margin_upper_c  None
N_BW20_MCS0_CH6_C0_sense_per  None
N_BW20_MCS0_CH6_C0_clk_err  None
N_BW20_MCS0_CH6_C0_evm_avg  None
N_BW20_MCS0_CH6_C0_max_txp_avg  None
N_BW20_MCS0_CH6_C0_freq_err  None
N_BW20_MCS0_CH6_C0_sem_margin_low_c  None
N_BW20_MCS0_CH6_C0_sem_margin_low_a  None
",1,0,0,0,0,
