Tata,D/N,Config,Test time,Line,Fixture,SN,Failure Mode,Failure Description,Retest,NTF,Fail,SOF,OFFLINE
2020-08-05,D,G950-04226-01,2020-08-05T08:02:51Z,K19,TOUCH-K1901,WIP0730105APAJFPG,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T08:04:14Z,N19,TOUCH-N1902,WIP0803105APAL2RM,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T08:07:24Z,N39,TOUCH-N3905,WIP0804105APALNDP,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T08:07:38Z,M29,TOUCH-M2901,WIP0804105APALL8U,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T08:08:21Z,M39,TOUCH-M3903,WIP0804105APAM0CX,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T03:07:50Z,M29,TOUCH-M2903,WIP0803105APAL8DG,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T08:09:42Z,M29,TOUCH-M2901,WIP0804105APALL3W,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T08:10:10Z,M39,TOUCH-M3901,WIP0804105APAM0CL,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T02:25:42Z,M29,TOUCH-M2903,WIP0803105APAL8NJ,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T08:06:37Z,K19,TOUCH-K1902,WIP0803105APAKU69,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T08:06:37Z,K19,TOUCH-K1902,WIP0803105APAKU69,"vt_sns5_press_diff2_avg
","vt_sns5_press_diff2_avg  199.55737704918033
",0,0,1,0,0,
